1969-12-31 19:00:34 configure libgphoto2-l10n 2.4.13-1ubuntu1.2 <none>
1969-12-31 19:00:34 status unpacked libgphoto2-l10n 2.4.13-1ubuntu1.2
1969-12-31 19:00:34 status half-configured libgphoto2-l10n 2.4.13-1ubuntu1.2
1969-12-31 19:00:34 status installed libgphoto2-l10n 2.4.13-1ubuntu1.2
1969-12-31 19:00:34 configure libgphoto2-2 2.4.13-1ubuntu1.2 <none>
1969-12-31 19:00:34 status unpacked libgphoto2-2 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 status half-configured libgphoto2-2 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 status installed libgphoto2-2 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 configure libexif-dev 0.6.20-2ubuntu0.1 <none>
1969-12-31 19:00:35 status unpacked libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:35 status half-configured libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:35 status installed libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:35 configure libusb-dev 2:0.1.12-20 <none>
1969-12-31 19:00:35 status unpacked libusb-dev 2:0.1.12-20
1969-12-31 19:00:35 status half-configured libusb-dev 2:0.1.12-20
1969-12-31 19:00:35 status installed libusb-dev 2:0.1.12-20
1969-12-31 19:00:35 configure libgphoto2-2-dev 2.4.13-1ubuntu1.2 <none>
1969-12-31 19:00:35 status unpacked libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 status half-configured libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 status installed libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:35 trigproc libc-bin 2.15-0ubuntu10.12 <none>
1969-12-31 19:00:35 status half-configured libc-bin 2.15-0ubuntu10.12
1969-12-31 19:00:35 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:11:27 startup packages remove
1969-12-31 18:11:27 status installed firefox-gnome-support 11.0+build1-0ubuntu4
